,date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
50676,2019-10-04 09:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.459,1.439,0,1,1
53063,2019-10-04 09:24:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.379,1.359,1,1,1
57777,2019-10-04 09:41:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.449,1.429,0,1,1
61663,2019-10-04 10:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.449,1.409,1,1,1
62870,2019-10-04 10:01:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.439,1.419,1,1,1
69332,2019-10-04 10:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.359,1.499,1.479,1,1,1
83324,2019-10-04 11:03:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.429,1.389,1,1,1
83727,2019-10-04 11:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.319,1.449,1.429,1,1,1
84817,2019-10-04 11:08:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.279,1.409,1.389,1,1,1
89266,2019-10-04 11:19:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.289,1.419,1.379,1,1,1
91291,2019-10-04 11:25:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.449,1.429,1,0,0
95115,2019-10-04 11:37:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.389,1.369,1,1,1
97340,2019-10-04 11:43:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.389,1.349,1,1,1
105383,2019-10-04 12:15:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.379,1.359,1,1,1
116803,2019-10-04 13:01:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.439,1.419,1,1,1
117170,2019-10-04 13:01:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.449,1.409,1,1,1
123272,2019-10-04 13:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.499,1.479,1,1,1
135839,2019-10-04 14:03:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.429,1.389,1,1,1
136594,2019-10-04 14:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.419,1.399,1,1,1
138088,2019-10-04 14:09:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.419,1.399,1,1,1
147539,2019-10-04 14:36:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.379,1.359,1,1,1
147712,2019-10-04 14:36:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.279,1.389,1.369,1,1,1
149702,2019-10-04 14:41:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.389,1.349,1,1,1
153939,2019-10-04 14:57:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.379,1.359,1,1,1
168630,2019-10-04 16:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.429,1.389,1,1,1
169373,2019-10-04 16:01:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.419,1.399,1,1,1
175087,2019-10-04 16:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.419,1.399,1,1,1
187666,2019-10-04 17:02:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.429,1.389,1,0,0
189068,2019-10-04 17:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.419,1.399,1,0,0
189792,2019-10-04 17:08:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.399,1.379,1,1,1
194891,2019-10-04 17:22:03+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.409,1.369,1,1,1
